koi_disposition,orbital_period,transit_duration,transit_depth,planet_radius,stellar_logg,stellar_radius,insolation,eq_temp,mag,model_snr,ra,dec,mission,stellar_teff
CANDIDATE,162.0479502,9.8974,4840.5,11.52,4.16,1.567,8.65,437,13.632,370.2,294.2655,44.7943,Kepler,
FALSE POSITIVE,0.530967162,3.3659,244.9,23.72,4.316,1.193,12644.75,2704,13.586,125.5,288.86734,44.61573,Kepler,
CONFIRMED,40.05881661,5.595,1239.4,3.43,4.545,0.868,13.57,489,14.862,62.6,286.01587,45.007771,Kepler,
CONFIRMED,6.09747233,3.431,217.6,2.22,4.09,1.522,485.84,1197,15.151,17.4,288.91644,39.594711,Kepler,
CONFIRMED,56.637918,6.172,589.7,3.68,4.09,1.522,24.87,570,15.151,20.9,288.91644,39.594711,Kepler,
FALSE POSITIVE,2.243016513,2.721,299.6,1.37,4.614,0.732,438.46,1167,13.98,59.1,296.65308,39.322689,Kepler,
FALSE POSITIVE,8.6531216,4.39,654.8,22.58,4.564,0.852,84.05,772,15.454,35.7,289.7439,39.286301,Kepler,
CONFIRMED,8.99088621,4.2447,469.7,2.78,4.315,1.171,200.35,960,13.431,93.6,297.71185,45.261921,Kepler,
FALSE POSITIVE,34.06456641,9.6114,28450,15.57,4.517,0.892,25,570,15.443,1305.9,293.38663,45.87027,Kepler,
FALSE POSITIVE,4.350087749,2.6428,23593,24.77,4.495,0.953,393.2,1136,14.855,192.2,283.18909,45.36417,Kepler,
FALSE POSITIVE,1.744101106,1.5497,9681.4,7.21,4.593,0.703,251.54,1016,15.702,152.6,294.91586,45.783871,Kepler,
FALSE POSITIVE,7.981187121,1.8071,7609.5,18.75,4.472,0.989,205.88,966,14.36,202.1,293.70905,45.286388,Kepler,
FALSE POSITIVE,4.118775582,3.76,2647.7,4.48,4.579,0.802,306.75,1067,15.797,125.6,297.60529,45.36068,Kepler,
CANDIDATE,1.694740233,1.6864,1446.8,2.12,4.739,0.527,95.14,797,15.804,92.3,283.55554,45.614262,Kepler,
FALSE POSITIVE,0.971933156,1.9265,4786,50.75,4.445,0.931,2240.48,1754,15.289,223.1,297.89658,43.563889,Kepler,
FALSE POSITIVE,121.5991278,15.1596,10537,379.63,4.551,0.847,3.87,358,14.6,297,294.54739,43.533691,Kepler,
CANDIDATE,15.06806077,3.3011,19387,16.43,4.493,0.96,71.78,742,15.95,282.8,295.4783,39.867722,Kepler,
CONFIRMED,7.886632468,5.2147,6331.2,8.99,4.304,1.135,232.07,996,15.014,392.3,295.095,43.537579,Kepler,
CONFIRMED,8.027681123,3.0942,8725.4,8.43,4.546,0.887,109.35,824,15.57,461.5,289.60382,46.314949,Kepler,
CONFIRMED,704.962626,18.003,2319.1,4.53,4.489,0.818,0.24,178,13.354,96.1,283.25681,45.08778,Kepler,
CONFIRMED,50.28635977,6.3212,1119.3,3.88,4.309,1.167,20.59,543,13.672,99.5,299.22162,44.693871,Kepler,
CONFIRMED,22.79020351,5.0394,617.9,2.57,4.354,1.053,38.27,634,14.766,47.7,285.0361,45.07106,Kepler,
CONFIRMED,13.26079792,3.912,199.4,1.47,4.354,1.053,78.79,760,14.766,17.6,285.0361,45.07106,Kepler,
FALSE POSITIVE,1.061932545,2.1429,133.6,2.29,3.975,1.851,9391.15,2508,12.953,80.2,288.90253,44.632992,Kepler,
CONFIRMED,127.8334997,10.914,1829.9,9.46,3.973,2.17,22.21,554,13.968,76.9,291.02014,39.22068,Kepler,
CONFIRMED,10.21864532,3.802,445.3,2.33,4.376,1.083,169.13,920,14.82,26.6,296.35867,39.115189,Kepler,
CONFIRMED,15.573637,5.326,468.1,2.94,4.376,1.083,96.38,799,14.82,24.7,296.35867,39.115189,Kepler,
CONFIRMED,40.1015561,5.246,550,2.92,4.376,1.083,27.31,583,14.82,19,296.35867,39.115189,Kepler,
CONFIRMED,4.45814897,2.867,188.1,1.61,4.376,1.083,511.6,1212,14.82,14.3,296.35867,39.115189,Kepler,
FALSE POSITIVE,5.663621501,1.2968,1225,2.47,4.601,0.723,84.76,774,15.444,39.8,284.79102,45.228989,Kepler,
CONFIRMED,6.230335,1.6493,1449.2,3.7,4.557,0.865,138.33,875,15.977,31.6,284.20966,45.25808,Kepler,
CONFIRMED,12.49340725,2.2614,715.7,2.2,4.561,0.795,42.08,649,13.575,76.2,291.02185,37.769791,Kepler,
CONFIRMED,6.62643441,3.1752,814.6,2.54,4.529,0.903,151.59,895,15.843,40.6,287.392,46.059311,Kepler,
CONFIRMED,3.70122061,2.523,327.4,1.62,4.529,0.903,330.02,1087,15.843,19.6,287.392,46.059311,Kepler,
CANDIDATE,6.247030799,1.4848,1496.6,1.89,4.764,0.487,16.23,512,15.369,44.8,299.6777,45.972328,Kepler,
CONFIRMED,13.73474071,2.769,746.4,2.71,4.524,0.772,38.11,634,15.187,31,286.91711,38.872219,Kepler,
CANDIDATE,700.0029822,7.6525,3245.9,6.43,4.397,1.118,0.76,238,13.594,60.3,293.61877,39.022572,Kepler,
CANDIDATE,272.0868353,2.7145,5572,5.95,4.548,0.791,0.93,251,15.166,21.5,288.31436,38.693291,Kepler,
CONFIRMED,14.55387488,6.973,319.7,3.45,4.177,1.507,183.48,939,14.377,26.8,293.59583,39.02948,Kepler,
FALSE POSITIVE,0.895277575,2.711,534.5,9.27,3.707,3.325,77480.31,4253,13.574,132.1,298.34421,45.40992,Kepler,
CONFIRMED,81.0637895,3.001,476,3.01,4.237,1.324,16.12,511,13.914,19.4,300.51712,44.38158,Kepler,
CONFIRMED,24.8056775,6.148,624.4,2.16,4.455,0.872,28.22,588,15.204,39.4,284.67728,44.79768,Kepler,
CONFIRMED,13.02493307,4.5706,778.4,2.88,4.364,1.046,90.1,786,13.709,119.3,297.11511,41.909142,Kepler,
CONFIRMED,44.3471936,6.43,791.7,2.45,4.455,0.872,13,484,15.204,40.5,284.67728,44.79768,Kepler,
CONFIRMED,9.2207691,4.907,140,1.02,4.455,0.872,105.63,817,15.204,13.2,284.67728,44.79768,Kepler,
CONFIRMED,13.6396648,5.425,162.7,1.1,4.455,0.872,62.6,717,15.204,13.3,284.67728,44.79768,Kepler,
CONFIRMED,1.922799706,1.8604,259.7,1.28,4.559,0.815,514.44,1215,14.829,30.1,285.61746,39.379532,Kepler,
CONFIRMED,3.222975318,2.9247,232.7,1.47,4.427,0.96,558.65,1239,14.609,31.3,292.27612,39.550179,Kepler,
CANDIDATE,42.0370662,6.282,266.8,1.66,4.427,0.96,18.16,527,14.609,14.7,292.27612,39.550179,Kepler,
CANDIDATE,21.0112068,4.507,163.6,1.4,4.427,0.96,45.79,663,14.609,10.2,292.27612,39.550179,Kepler,
CONFIRMED,4.16811839,2.8084,263,2.28,4.202,1.313,628.73,1277,14.801,26.7,284.58255,39.220211,Kepler,
CONFIRMED,5.82348911,2.2441,888.7,3,4.526,0.864,196.33,955,15.898,38.1,285.96786,45.739071,Kepler,
CANDIDATE,8.75059775,2.8288,881.9,2.27,4.599,0.779,51,682,15.92,28.3,295.76083,45.45739,Kepler,
FALSE POSITIVE,9.41475056,4.736,483.4,19.33,4.436,1.033,202.58,962,13.66,55.2,293.17416,45.521229,Kepler,
FALSE POSITIVE,0.56669006,2.1674,104.6,1.52,4.273,1.386,18023.71,2955,13.44,53.8,294.79001,45.391621,Kepler,
CONFIRMED,7.13969705,3.981,512.9,2.24,4.486,0.993,205.23,965,15.906,27.8,295.92609,45.383862,Kepler,
CONFIRMED,18.75470238,3.0331,995.3,1.67,4.721,0.54,5.03,382,15.473,33.2,290.47995,45.6007,Kepler,
FALSE POSITIVE,3.00363219,3.732,101.2,1.43,4.217,1.32,1441.44,1571,12.476,38.5,293.64841,38.976021,Kepler,
CONFIRMED,11.30123036,4.022,277.1,1.85,4.34,1.122,124.42,852,14.981,18.5,292.00681,38.820728,Kepler,
FALSE POSITIVE,0.796722833,2.4551,107.1,1.44,4.121,1.334,7844.64,2401,13.379,43.9,294.35049,38.602131,Kepler,
CONFIRMED,4.24153629,2.971,188.1,1.44,4.34,1.047,452.95,1177,14.621,18,295.21664,38.77433,Kepler,
CONFIRMED,17.32419108,8.045,241.3,3.14,3.972,1.857,204.1,964,13.42,49.1,286.58316,39.077202,Kepler,
CONFIRMED,14.37457572,4.7892,335.8,1.94,4.358,1.067,87.24,779,13.749,55.2,293.37225,44.785141,Kepler,
CONFIRMED,9.65188331,4.296,103.2,1.08,4.358,1.067,148.32,890,13.749,19.8,293.37225,44.785141,Kepler,
FALSE POSITIVE,6.0990118,3.6112,227.5,3.16,3.881,1.971,842.53,1374,13.951,39.3,296.71735,44.579659,Kepler,
CONFIRMED,49.4781446,2.493,496.6,1.88,4.554,0.849,10.73,462,14.427,20.4,286.96683,44.992489,Kepler,
CONFIRMED,30.8639476,8.864,256.5,3.01,4.08,1.571,72.05,743,12.547,63,293.22995,45.05331,Kepler,
CONFIRMED,2.403640701,1.4012,74.9,1.24,4.315,1.171,1164.85,1489,13.431,16.3,297.71185,45.261921,Kepler,
FALSE POSITIVE,2.90060781,2.563,124.8,1.58,4.241,1.371,1727.31,1645,13.887,20.6,296.43408,39.444069,Kepler,
CONFIRMED,4.51436096,3.0083,230.7,1.84,4.306,1.215,543.73,1231,14.946,28.4,290.47742,39.73201,Kepler,
CONFIRMED,3.77359871,2.7282,176,1.29,4.404,0.969,614.52,1270,14.207,25.6,294.7699,39.39851,Kepler,
CONFIRMED,8.18182189,2.4566,299.6,1.77,4.404,0.969,218.9,981,14.207,27.4,294.7699,39.39851,Kepler,
CONFIRMED,13.32389352,3.2208,781.3,1.26,4.813,0.45,4.83,378,15.931,25.9,287.05453,45.18037,Kepler,
CONFIRMED,4.919584997,4.1988,425.7,2.86,4.246,1.378,702.13,1312,13.273,132,294.4639,49.765041,Kepler,
CONFIRMED,11.41911886,5.135,509.2,3.32,4.398,1.172,170.33,921,15.965,23.7,283.57422,45.734798,Kepler,
CONFIRMED,11.36113254,4.1886,569.5,2.6,4.46,1.009,134.97,869,14.63,57,287.45279,45.704399,Kepler,
FALSE POSITIVE,1.3866358,4.77,70.1,0.72,4.551,0.856,1205.94,1503,15.755,6.8,285.98865,45.377811,Kepler,
CONFIRMED,14.53410833,3.3094,510.6,1.36,4.693,0.553,7.34,420,14.688,32.5,290.29456,45.56461,Kepler,
CONFIRMED,33.0063185,7.118,278.1,3.13,3.972,1.857,86.38,778,13.42,38.2,286.58316,39.077202,Kepler,
CONFIRMED,11.13127159,4.2372,211.2,2.06,4.202,1.435,194.31,952,13.459,36.8,288.1337,38.99688,Kepler,
FALSE POSITIVE,3.47143963,3.663,99.8,1.19,4.409,1.111,805.05,1358,13.599,27.5,290.86142,38.641129,Kepler,
CONFIRMED,29.6193891,4.9595,314.7,1.74,4.401,0.996,26.79,580,13.331,42.5,291.01904,38.54557,Kepler,
FALSE POSITIVE,3.50376155,3.16,421.1,2.39,4.438,1,141.6,878,14.463,23,290.66681,38.568329,Kepler,
CONFIRMED,8.925079516,2.6766,977.5,2.36,4.628,0.693,36.89,628,13.461,135.8,287.99789,50.944328,Kepler,
CONFIRMED,8.0922105,5.7696,65.3,1.44,4.106,1.395,331.65,1089,11.731,37.5,296.00711,44.853474,Kepler,
FALSE POSITIVE,3.117087797,3.06941,12152,88.51,3.973,2.046,2725.12,1842,11.397,441.7,283.31592,48.404873,Kepler,
CONFIRMED,22.687155,5.4921,960,3.2,4.364,1.046,42.95,653,13.709,122.8,297.11511,41.909142,Kepler,
FALSE POSITIVE,0.937406378,1.9515,5079.6,7.09,4.529,0.843,1790.11,1659,14.546,138.9,291.63699,47.83234,Kepler,
FALSE POSITIVE,0.668483615,2.0909,2899.8,29.53,4.575,0.81,2642.17,1832,15.905,161.2,298.25803,48.217361,Kepler,
FALSE POSITIVE,4.429633087,3.0257,6120.1,32.12,4.545,0.809,192.62,950,15.91,166.3,282.23273,48.271198,Kepler,
FALSE POSITIVE,1.544927524,1.0134,138.5,1.39,4.34,1.132,2606.96,1824,13.643,25.4,294.18967,39.617119,Kepler,
CONFIRMED,4.48758768,2.874,112,1.37,4.227,1.257,684.07,1305,13.446,25.9,284.86014,39.240551,Kepler,
FALSE POSITIVE,0.323021692,2.3442,47100,46.4,4.381,0.972,9913.7,2545,11.234,520.6,292.63,42.829338,Kepler,
FALSE POSITIVE,4.70818628,3.278,56545,42.99,4.53,0.894,282.41,1046,13.279,24.7,291.61008,42.759762,Kepler,
FALSE POSITIVE,14.40585744,5.48509,30431,23.42,4.196,1.346,146.95,888,14.808,2294.1,293.02036,42.508835,Kepler,
FALSE POSITIVE,7.702374154,3.8459,18377,225.25,4.565,0.83,109.38,825,15.144,157.2,292.7399,42.359402,Kepler,
CONFIRMED,16.56062577,2.611,700.8,2.94,4.436,0.855,57.28,701,15.198,30.8,285.24667,45.950191,Kepler,
CONFIRMED,15.74958583,4.6672,659.5,2.77,4.454,1.025,86.18,777,15.3,42.6,285.43552,45.976021,Kepler,
CONFIRMED,37.8145252,9.109,412.5,3.04,4.278,1.314,36.25,626,13.601,57.9,291.07468,45.24258,Kepler,
CONFIRMED,12.64504291,9.117,200.4,1.55,4.447,0.886,71.28,741,14.447,32.7,285.34583,45.367779,Kepler,
CONFIRMED,21.5262958,8.392,190,1.36,4.447,0.886,35.03,621,14.447,23.4,285.34583,45.367779,Kepler,
CONFIRMED,33.8845825,6.538,224.1,1.74,4.447,0.886,19.13,533,14.447,17.2,285.34583,45.367779,Kepler,
CONFIRMED,6.40087137,2.5561,133.6,1.91,4.107,1.421,357.44,1109,12.988,24.4,287.30786,39.14473,Kepler,
CONFIRMED,30.1599411,7.874,175.9,4.54,3.62,3.051,115.69,836,11.584,32.3,290.10718,38.702229,Kepler,
CONFIRMED,51.0771048,11.233,141.5,3.66,3.62,3.051,57.28,702,11.584,24.1,290.10718,38.702229,Kepler,
FALSE POSITIVE,4.2856756,4.059,31.4,2.13,3.443,3.733,2429.13,1790,12.203,8.3,292.4968,39.193169,Kepler,
FALSE POSITIVE,7.388833611,5.62857,13064,10.66,4.558,0.838,139.94,877,13.209,1509.3,293.8129,42.04871,Kepler,
FALSE POSITIVE,2.698021895,23.192,6721.2,52.51,4.36,1.211,1481.76,1582,13.717,647.1,291.98694,42.037651,Kepler,
CONFIRMED,117.931108,5.8796,8506.6,10.36,4.425,1.072,7.2,418,15.128,212.5,289.02017,48.119808,Kepler,
FALSE POSITIVE,4.887806806,2.4078,4676,5.71,4.523,0.812,167.54,918,15.399,116.1,297.71039,48.083832,Kepler,
FALSE POSITIVE,11.97360504,4.3117,3822.9,38.2,4.497,0.943,106.83,820,15.175,172.9,296.71634,48.211262,Kepler,
FALSE POSITIVE,1.231364189,5.8574,1097.1,5.39,4.429,0.891,2005.15,1707,14.97,229.7,290.29385,47.96759,Kepler,
FALSE POSITIVE,2.102416517,1.7684,1502.5,29.29,4.494,0.959,1003.06,1435,15.642,94.3,294.0217,48.390419,Kepler,
FALSE POSITIVE,11.7031093,2.0467,4201,37.3,4.494,0.958,102.47,811,15.003,126.6,296.93268,48.266491,Kepler,
FALSE POSITIVE,13.73808249,3.354,660.7,3.84,4.292,1.178,163.52,912,13.805,68.4,298.18362,42.01313,Kepler,
FALSE POSITIVE,16.66216657,3.8762,27442,843.45,4.38,1.169,114.41,834,13.344,114.5,286.30026,42.374828,Kepler,
FALSE POSITIVE,0.752159702,2.3621,3425,43.73,4.296,1.175,5767.22,2224,11.884,291.1,297.10837,42.751663,Kepler,
FALSE POSITIVE,4.81886153,6.223,1318.6,2.96,4.658,0.651,98.29,803,15.932,86.3,294.09109,42.491459,Kepler,
CONFIRMED,125.8654019,9.0191,12390,12.37,4.342,1.115,5.71,394,13.956,544.7,297.46533,42.882839,Kepler,
CONFIRMED,34.5439452,3.482,429.8,2.67,4.342,1.115,32.02,607,13.956,23.4,297.46533,42.882839,Kepler,
CONFIRMED,10.74241765,6.0633,415.2,3.06,4.091,1.518,243.94,1008,13.438,95.4,294.21893,49.479221,Kepler,
FALSE POSITIVE,4.02378908,3.237,32.1,2.24,3.651,3.685,9293.19,2504,10.083,36.1,301.26144,45.104893,Kepler,
FALSE POSITIVE,0.312941621,2.0646,35262,58.02,4.312,1.188,23300.36,3151,13.397,413.9,293.38153,48.82476,Kepler,
CONFIRMED,2.495780169,4.2721,25070,15.75,4.426,0.992,929.47,1408,14.152,171.4,296.50739,49.457291,Kepler,
FALSE POSITIVE,8.428090255,1.881,11356,517.43,4.573,0.805,105.54,817,15.977,183,284.98886,49.62606,Kepler,
FALSE POSITIVE,8.344104633,1.8014,9695,836.31,4.559,0.838,89.55,785,15.734,89.7,298.76062,48.600182,Kepler,
CANDIDATE,1.714274727,2.06728,28460,25,4.715,0.535,110.02,827,15.686,987.2,295.62222,42.09288,Kepler,
FALSE POSITIVE,137.759605,9.1713,83298,49.52,4.085,1.452,5.81,396,15.324,885.9,295.86691,42.062672,Kepler,
FALSE POSITIVE,2.155278342,2.1064,20739,16.89,4.568,0.82,620.67,1272,13.997,142.7,297.70712,42.047371,Kepler,
FALSE POSITIVE,3.661326482,2.5714,17846,12.07,4.501,0.798,258.6,1023,14.349,424.6,298.09171,41.794128,Kepler,
CONFIRMED,4.75400072,2.5394,748.7,2,4.628,0.693,85.23,775,13.461,141.4,287.99789,50.944328,Kepler,
FALSE POSITIVE,0.76973817,2.5,421.1,2.39,4.438,1,141.6,878,14.84,23,288.03989,41.818359,Kepler,
FALSE POSITIVE,165.739861,24.9393,7343.4,57.54,2.99,6.836,54.1,692,12.263,527.8,298.94815,41.812149,Kepler,
FALSE POSITIVE,9.08937826,6.255,779.8,5.35,4.332,1.275,351.45,1104,14.408,72.7,297.116,47.737949,Kepler,
CONFIRMED,3.234699282,3.59385,10559,13.06,4.236,1.291,797.62,1356,13.303,3003.8,296.83725,48.239944,Kepler,
CONFIRMED,31.99552485,4.2817,1376.1,4.12,4.364,1.046,27.17,582,13.709,128,297.11511,41.909142,Kepler,
FALSE POSITIVE,1.577800747,2.1626,697.7,31.24,4.566,0.802,1236.23,1513,15.031,79.6,292.08905,47.929642,Kepler,
FALSE POSITIVE,2.380862632,4.20416,32634,21.65,4.297,1.129,1133,1480,13.802,2590.6,289.79077,48.448139,Kepler,
FALSE POSITIVE,1.752567456,5.4993,607.3,26.56,4.433,0.996,1202.54,1502,14.449,92.2,298.80545,42.39584,Kepler,
CONFIRMED,51.92920654,5.2637,3425.8,8.49,4.128,1.442,25.6,574,15.897,81.8,294.96606,42.708569,Kepler,
CANDIDATE,384.0257068,14.56,421.1,2.39,4.438,1,141.6,878,15.206,23,292.1199,42.931679,Kepler,
CANDIDATE,3.014330766,2.4747,975.3,2.87,4.446,0.953,377.79,1124,15.673,57.3,298.45953,42.187431,Kepler,
CONFIRMED,5.644914154,2.2599,1397.9,2.66,4.622,0.714,72.38,744,15.505,63.9,295.8255,42.94339,Kepler,
CONFIRMED,3.105507835,1.7458,904.6,2.68,4.585,0.791,217.91,980,13.341,178.6,287.05173,40.211552,Kepler,
FALSE POSITIVE,1.336109338,1.7419,2204.3,35.19,4.46,0.967,2106.49,1727,15.507,150,285.41196,48.725231,Kepler,
CANDIDATE,13.35151248,3.6045,3308.8,4.44,4.562,0.754,27.77,585,15.825,107.9,290.1127,48.577782,Kepler,
CANDIDATE,1693.663623,22.604,9515.3,10.23,4.445,1.021,0.14,157,15.305,122.8,287.65045,49.156052,Kepler,
CONFIRMED,5.841636615,1.8734,1336.3,1.38,4.866,0.383,9.38,446,15.921,41.1,286.54001,49.437328,Kepler,
CONFIRMED,19.85029495,2.8407,1607.5,1.52,4.866,0.383,1.83,297,15.921,34.4,286.54001,49.437328,Kepler,
CONFIRMED,15.27443889,6.0765,206.7,2.17,4.091,1.518,152.62,896,13.438,40.3,294.21893,49.479221,Kepler,
FALSE POSITIVE,22.34293693,7.0813,2691.1,2.92,4.663,0.58,6.01,399,15.719,35.3,297.33563,41.89048,Kepler,
FALSE POSITIVE,119.4081716,9.3537,18563,16.26,4.477,0.872,2.72,328,14.427,508.4,281.74261,42.123081,Kepler,
FALSE POSITIVE,1.171536413,1.5878,1132.7,7.12,4.275,1.485,7673.2,2387,15.634,67,297.88437,41.931252,Kepler,
FALSE POSITIVE,0.973547911,2.2858,435.7,11.52,4.542,0.863,2556.6,1814,15.46,38.7,298.79498,41.759769,Kepler,
FALSE POSITIVE,3.053563251,3.2551,508.4,21.79,4.548,0.863,444.16,1171,14.598,50.4,298.13525,41.95105,Kepler,
FALSE POSITIVE,1.031096352,2.781,265.4,2.36,4.426,1.072,3954.46,2020,15.131,37.8,296.14877,47.934872,Kepler,
CONFIRMED,11.00817635,2.013,1462.5,2.15,4.684,0.582,13.39,488,15.847,42.1,293.61371,47.839001,Kepler,
CONFIRMED,92.7495777,5.506,1105.1,1.87,4.684,0.582,0.78,240,15.847,18,293.61371,47.839001,Kepler,
CONFIRMED,52.5008645,14.9066,946.7,12.41,3.331,4.157,102.94,812,12.183,116.2,293.2822,48.2859,Kepler,
CONFIRMED,0.63133171,1.1487,434.5,1.2,4.71,0.53,726.72,1322,14.285,95.8,291.59409,48.44561,Kepler,
CONFIRMED,12.69905011,2.9899,797.4,2.62,4.489,0.882,52.55,686,15.824,30.4,293.14648,47.729649,Kepler,
CONFIRMED,8.74292005,2.6277,779.5,1.92,4.622,0.714,40.33,643,15.505,30.7,295.8255,42.94339,Kepler,
CONFIRMED,3.64830183,1.9985,371.7,1.33,4.622,0.714,129.44,860,15.505,19.9,295.8255,42.94339,Kepler,
CONFIRMED,2.345863002,1.6795,316.7,1.23,4.622,0.714,233.38,997,15.505,19.6,295.8255,42.94339,Kepler,
CONFIRMED,37.1011418,5.5556,1357.5,3.19,4.527,0.85,18.95,532,15.229,55.2,291.02069,42.46244,Kepler,
CANDIDATE,104.8205868,4.4794,3920.1,6.45,4.527,0.85,4.74,376,15.229,76.6,291.02069,42.46244,Kepler,
CONFIRMED,10.8644095,1.853,748.7,1.14,4.866,0.383,4.09,363,15.921,16.8,286.54001,49.437328,Kepler,
CONFIRMED,124.4197175,3.7197,4107,10.3,3.974,1.659,7.07,416,15.74,39.9,284.25131,48.809608,Kepler,
CONFIRMED,1.219568047,1.5681,494.9,1.51,4.625,0.701,578.96,1252,15.127,65.9,292.32858,49.653542,Kepler,
CONFIRMED,2.05388477,2.1635,546.7,2.74,4.282,1.176,1271.11,1523,15.269,50,296.32199,48.971481,Kepler,
CONFIRMED,38.86848956,6.0573,1004.9,2.81,4.46,0.897,15.89,509,14.232,73.4,283.20917,48.777641,Kepler,
CONFIRMED,35.7353616,8.491,778.8,5.47,4.045,1.697,84.66,774,13.659,58.4,287.3912,42.194832,Kepler,
CONFIRMED,12.30971679,6.74,396,3.82,4.045,1.697,350.46,1104,13.659,45.9,287.3912,42.194832,Kepler,
CONFIRMED,54.4205407,8.559,598,3.2,4.422,1.067,25.6,574,13.659,44.9,287.3912,42.194832,Kepler,
FALSE POSITIVE,30.00908916,3.15,421.1,2.39,4.438,1,141.6,878,13.174,23,298.74423,46.83009,Kepler,
FALSE POSITIVE,14.32407216,4.6577,2053.9,38.86,4.453,1.039,88.38,782,15.609,58,294.58929,41.944382,Kepler,
CONFIRMED,27.07237655,6.9592,514.2,2.18,4.501,0.965,31.58,605,14.556,44,297.20895,41.781712,Kepler,
CONFIRMED,37.5142128,5.303,935,2.68,4.489,0.882,12.38,478,15.824,28.9,293.14648,47.729649,Kepler,
CONFIRMED,55.6391882,7.316,853,3.13,4.493,0.962,12.33,478,14.755,48.3,289.08365,48.018131,Kepler,
CONFIRMED,46.6856205,6.3794,588.8,2.52,4.364,1.046,16.41,513,13.709,59,297.11511,41.909142,Kepler,
CANDIDATE,34.2966363,19.718,696.6,3.29,4.263,1.167,27.6,584,14.965,66.7,294.23007,48.204479,Kepler,
CONFIRMED,4.59726613,2.909,313,1.69,4.494,0.959,352.4,1105,15.803,17,296.61487,48.082642,Kepler,
CONFIRMED,9.97716876,5.908,252.9,2.53,4.037,1.616,263.89,1028,14.943,21.8,297.79691,39.921371,Kepler,
CONFIRMED,3.02168007,2.8264,171.9,1.31,4.472,0.989,744.35,1332,14.429,32.9,288.82291,40.38905,Kepler,
FALSE POSITIVE,30.8825387,5.3737,24012,15.4,4.486,0.993,29.12,593,14.857,1266.2,288.72949,42.55088,Kepler,
FALSE POSITIVE,72.4914068,3.612,1063.5,15.33,3.639,2.758,56.76,700,13.05,39.2,299.2475,46.951908,Kepler,
FALSE POSITIVE,4.93913074,1.362,382.9,24.03,4.324,1.17,461.47,1182,14.832,22,291.23883,40.163509,Kepler,
CONFIRMED,2.240486703,1.3988,436.3,1.22,4.689,0.574,115.98,837,15.224,33.8,290.82602,44.184109,Kepler,
CONFIRMED,105.0145774,7.426,296,2.29,4.363,1.042,6.44,406,12.9,33.9,294.27728,46.675282,Kepler,
CONFIRMED,4.88084456,2.5574,343,1.55,4.481,0.861,141,879,14.925,32.6,295.02167,46.619221,Kepler,
CONFIRMED,10.56137217,3.2645,238.4,2.43,4.316,1.171,133.56,867,14.581,21.7,293.57776,46.73634,Kepler,
CONFIRMED,67.6690554,9.556,961.1,3.39,4.356,1.08,14.24,495,15.224,37.2,294.16882,46.714611,Kepler,
CONFIRMED,3.949627144,1.5485,807.2,2.32,4.523,0.836,206.05,966,15.623,45.1,292.35394,46.22628,Kepler,
CONFIRMED,16.00460392,3.9475,831.9,2.24,4.597,0.769,27.41,583,15.554,34.3,288.23666,46.605919,Kepler,
FALSE POSITIVE,3.55650737,8.545,293.6,3.05,3.876,1.843,918.25,1405,14.118,77.1,297.12186,46.221909,Kepler,
CONFIRMED,3.148661555,2.1978,550.5,2.15,4.458,0.873,342.76,1097,15.297,35.3,297.77927,46.492741,Kepler,
FALSE POSITIVE,0.70544824,2.9423,462.4,20.03,4.564,0.826,2899.07,1868,14.351,118.2,289.95078,50.657249,Kepler,
CONFIRMED,3.295701024,1.8268,1745.7,2.81,4.628,0.691,138.38,875,14.84,114.7,294.44177,40.55759,Kepler,
CONFIRMED,9.65349016,2.9029,1308.6,2.41,4.628,0.691,32.98,611,14.84,63.1,294.44177,40.55759,Kepler,
CONFIRMED,5.315954488,1.1165,965.9,2.33,4.628,0.691,73.19,746,14.84,37.7,294.44177,40.55759,Kepler,
CONFIRMED,10.04556377,3.2027,671.4,2.19,4.554,0.853,81.61,766,13.024,66.5,284.39429,46.249081,Kepler,
CONFIRMED,1.499144441,1.4259,258.9,1.09,4.628,0.691,395.06,1137,14.84,22.2,294.44177,40.55759,Kepler,
CONFIRMED,5.082748362,1.7732,276.7,1.4,4.555,0.858,175.06,928,13.984,40.9,290.05112,46.713371,Kepler,
FALSE POSITIVE,5.00673576,1.9398,191.2,2,4.158,1.383,726.94,1324,13.518,26.6,298.96255,40.630661,Kepler,
CONFIRMED,9.17617167,4.2642,206.9,1.66,4.3,1.156,200.99,960,13.797,34.3,282.06128,47.085491,Kepler,
CONFIRMED,19.7383992,4.894,168.1,1.61,4.3,1.156,72.32,744,13.797,20.3,282.06128,47.085491,Kepler,
CONFIRMED,41.6980186,5.7047,440.8,2.03,4.466,0.971,19.61,537,13.956,43.4,291.40555,40.125488,Kepler,
CONFIRMED,59.6585348,5.514,1043.8,3.59,4.547,0.831,5.66,393,15.742,21.2,293.64417,46.989761,Kepler,
CONFIRMED,52.6298542,6.118,675.8,3.68,4.096,1.433,20.65,544,15.004,27.2,294.78915,46.98399,Kepler,
CONFIRMED,10.29099413,4.28889,9655.7,13.43,4.134,1.373,233.08,996,14.221,1245.7,288.25458,43.704868,Kepler,
CONFIRMED,14.8783945,7.491,322.8,1.63,4.557,0.837,54.19,692,15.534,22.9,293.8656,47.026829,Kepler,
CONFIRMED,59.6222627,6.888,993.4,3.63,4.471,0.997,13.23,486,15.517,31.9,294.2413,47.275982,Kepler,
