toi,tid,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,koi_disposition
6924.01,91777086,88.686624,17.212515,2.33,-5.804,2459402.288,91.9283414,4.343,7033,9.22033,2.09153,335,12.24,468.308,6118.4,4.39,1.13,CANDIDATE
6925.01,57147191,101.98876,22.935209,32.011,-39.589,2460282.556,5.9785287,2.481,59578,13.9371,15.6338,553,14.8966,324.628,3674,4.66,0.59,CANDIDATE
6926.01,76731445,87.32422,28.369198,23.608,-21.615,2460278.004,8.2864221,5.859,3916,9.77567,368.205,1220,12.1756,549.607,5643,3.95,1.76,CANDIDATE
6927.01,67349298,120.69024,21.659686,5.708,1.37,2460285.161,4.3427321,1.23,7461,13.7163,53.9765,755,13.0985,628.904,5737.3,4.35,1.12,CANDIDATE
6928.01,45376816,92.343212,23.791831,-3.43,-2.207,2460284.495,3.8978437,3.523,14344,13.8047,785.026,1474,13.3511,803.501,6280,4.34,1.24,CANDIDATE
6929.01,49524528,175.578807,-0.699336,-26.129,-14.695,2459561.065,719.5740937,2.942,19525,10.9394,0.0051995,74,12.7026,267.625,4854,4.55,0.78,CANDIDATE
6930.01,462507821,111.764498,26.928341,-2.274,-3.469,2460273.053,7.2218817,2.116,8080,13.5058,188.768,1032,12.9171,672.359,6172.8,4.39,1.15,CANDIDATE
6931.01,307375528,98.840643,15.183422,-0.681,-3.662,2460283.23,2.2183625,2.773,4409,11.9385,1682.8,1784,12.8582,968.621,6307,3.98,1.89,CANDIDATE
6932.01,63307816,158.158632,12.678595,-11.749,-13.434,2460267.8,8.9533044,5.747,6349,11.7455,530.449,1336,13.1823,881.714,5808,4.12,1.46,CANDIDATE
6933.01,78290597,177.760407,-0.674683,-4.516,-1.728,2460279.092,9.765482,5.01,2552,12.1312,281.81,1141,11.7123,737.065,5887,3.73,2.35,CANDIDATE
6934.01,19560484,84.179464,23.902345,6.389,-0.09,2460282.963,2.8398671,3.091,8268,13.7553,964.812,1552,12.8359,654.771,5954,4.13,1.48,CANDIDATE
6935.01,270048796,114.871325,9.236081,9.349,-8.989,2460285.453,1.763034,1.849,21098,9.55649,165.366,999,14.4404,358.433,3958,4.59,0.67,CANDIDATE
6936.01,63082902,117.990508,18.126386,-45.108,-16.426,2460266.813,10.298566,2.022,4219,4.00839,9.32109,486,12.2709,134.941,4201.6,4.61,0.67,CANDIDATE
6937.01,294434193,93.240035,11.99264,-3.479,-3.91,2460283.743,1.3809769,1.229,927,5.73354,1739.39,1799,11.8356,608.736,7445.4,4.3,1.53,CANDIDATE
6938.01,114600571,88.44156,18.478748,0.4,-5.425,2460277.283,4.8789974,6.112,4762,15.3642,2600.12,1989,13.1593,1454.11,6473,3.78,2.46,CANDIDATE
